epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,237.15,0.47039,0.68781,0.00229,0.97662,0.8833,0.951,0.88818,0.39068,0.3677,0.00183,0.00073025,0.00073025,0.00073025
44,242.333,0.45823,0.64459,0.00219,0.90321,0.83052,0.95988,0.85437,0.54402,0.44846,0.00222,0.000717875,0.000717875,0.000717875
45,247.38,0.45463,0.62291,0.00214,0.93071,0.83034,0.9675,0.8965,0.38665,0.4281,0.00169,0.0007055,0.0007055,0.0007055
46,252.451,0.46703,0.61822,0.00237,0.93127,0.8474,0.95988,0.84436,0.51165,0.40355,0.00247,0.000693125,0.000693125,0.000693125
47,257.581,0.47141,0.57372,0.00222,0.95345,0.85702,0.9675,0.87348,0.45922,0.38039,0.00203,0.00068075,0.00068075,0.00068075
48,262.678,0.43921,0.64895,0.00213,0.9611,0.88119,0.9675,0.90702,0.38315,0.30757,0.00196,0.000668375,0.000668375,0.000668375
49,267.702,0.39934,0.55069,0.00205,0.93077,0.88027,0.9675,0.91964,0.3427,0.28375,0.00195,0.000656,0.000656,0.000656
50,272.807,0.45594,0.55056,0.00207,0.94638,0.87562,0.951,0.88211,0.48586,0.353,0.00256,0.000643625,0.000643625,0.000643625
51,277.886,0.45618,0.54456,0.00198,0.9054,0.85677,0.9675,0.8823,0.47959,0.34314,0.00238,0.00063125,0.00063125,0.00063125
52,283.006,0.38789,0.46237,0.00193,0.90454,0.82897,0.93529,0.88241,0.34934,0.45512,0.00169,0.000618875,0.000618875,0.000618875
53,288.03,0.41782,0.5067,0.00208,0.84251,1,0.995,0.93592,0.36027,0.28138,0.00184,0.0006065,0.0006065,0.0006065
54,293.087,0.43636,0.52424,0.00219,0.90172,0.86575,0.995,0.94196,0.39349,0.32788,0.0019,0.000594125,0.000594125,0.000594125
55,298.22,0.43054,0.48481,0.00194,0.95228,0.83656,0.9675,0.90584,0.38962,0.37594,0.00198,0.00058175,0.00058175,0.00058175
56,303.312,0.40968,0.49999,0.00204,0.81517,0.96863,0.98738,0.91631,0.40499,0.34465,0.00197,0.000569375,0.000569375,0.000569375
57,308.305,0.39952,0.44963,0.00189,0.96766,0.83708,0.9675,0.90835,0.34497,0.35605,0.00188,0.000557,0.000557,0.000557
58,313.401,0.41847,0.45079,0.00189,0.92566,0.8667,0.9675,0.91622,0.37149,0.41641,0.00177,0.000544625,0.000544625,0.000544625
59,318.529,0.38715,0.4655,0.00182,0.96109,0.83522,0.9675,0.91756,0.34349,0.31212,0.00161,0.00053225,0.00053225,0.00053225
60,323.588,0.40134,0.41945,0.00188,0.92807,0.84798,0.9675,0.94952,0.28775,0.40364,0.00159,0.000519875,0.000519875,0.000519875
61,328.693,0.39955,0.42721,0.00169,0.97616,0.8257,0.9675,0.90978,0.43063,0.46709,0.00224,0.0005075,0.0005075,0.0005075
62,334.195,0.43079,0.42438,0.00205,0.97022,0.86981,0.951,0.90206,0.42154,0.43209,0.00214,0.000495125,0.000495125,0.000495125
63,339.501,0.37427,0.43987,0.00165,0.9429,0.88889,0.95988,0.90033,0.38542,0.41628,0.0019,0.00048275,0.00048275,0.00048275
64,344.957,0.37255,0.40016,0.00171,0.899,0.87723,0.95988,0.84981,0.49378,0.36019,0.00212,0.000470375,0.000470375,0.000470375
